Title,Artist Name,Year Created,Url,Refrence No
Edward’s Kaleege (1918-1922),"George Edward Lodge (English, 1860 – 1954)",1918-1922,https://artvee.com/dl/edwards-kaleege/,702377an.jpg
"A still life with a peacock, pigeons and chickens in a river landscape","Marmaduke Cradock (English, 1660-1717)",None,https://artvee.com/dl/a-still-life-with-a-peacock-pigeons-and-chickens-in-a-river-landscape/,704422an.jpg
Die crustaceen der böhmischen kreideformation Pl. 3 (1887),"Antonín Frič (Czech, 1832 – 1913)",1887,https://artvee.com/dl/die-crustaceen-der-bohmischen-kreideformation-pl-3/,702973an.jpg
Die crustaceen der böhmischen kreideformation Pl. 2 (1887),"Antonín Frič (Czech, 1832 – 1913)",1887,https://artvee.com/dl/die-crustaceen-der-bohmischen-kreideformation-pl-2/,702972an.jpg
Zwerggriffon (1871),"Carl Reichert (Austrian, 1836-1918)",1871,https://artvee.com/dl/zwerggriffon/,701162an.jpg
"Two Macaws, a Cockatoo and a Jay, with Fruit (1710)","Jakob Bogdány (Hungarian, 1660–1724)",1710,https://artvee.com/dl/two-macaws-a-cockatoo-and-a-jay-with-fruit/,705873an.jpg
Barnacle Goose (Bernicla Leucopsis),"Joseph Wolf (German, 1820-1899)",Bernicla Leucopsis,https://artvee.com/dl/barnacle-goose-bernicla-leucopsis/,702004an.jpg
Monographie des picidées pl15 (1861-1862),"Alfred Malherbe (French, 1804 – 1865)",1861-1862,https://artvee.com/dl/monographie-des-picidees-pl15/,705713an.jpg
The Three Leopards,"Jacques-Charles Oudry (French, ca. 1722 - 1778)",None,https://artvee.com/dl/the-three-leopards/,701452an.jpg
Colombe Phasianelle (1838),"Coenraad Jacob Temminck (Dutch, 1778-1858)",1838,https://artvee.com/dl/colombe-phasianelle/,700721an.jpg
"Bokken en schapen in een heuvelachtig landschap , after Nicolaes Pietersz. Berchem (1754 - 1831)","Wybrand Hendriks (Dutch, 1744-1831)",1754 - 1831,https://artvee.com/dl/bokken-en-schapen-in-een-heuvelachtig-landschap-after-nicolaes-pietersz-berchem/,705670an.jpg
Gallinula chloropus,"Johann Friedrich Naumann (German, 1780 – 1857)",None,https://artvee.com/dl/gallinula-chloropus/,704024an.jpg
Study of a Lion,"Théodore Géricault (French, 1791-1824)",None,https://artvee.com/dl/study-of-a-lion/,702821an.jpg
"Cinnamon Teal, Blue-Winged Teal (1922-1926)","Allan Brooks (Canadian, 1869 – 1946)",1922-1926,https://artvee.com/dl/cinnamon-teal-blue-winged-teal/,702934an.jpg
Mr William Orde’s Bay Filly Beeswing In A Stable (1842),"John Frederick Herring Snr. (English, 1795 – 1865)",1842,https://artvee.com/dl/mr-william-ordes-bay-filly-beeswing-in-a-stable/,704410an.jpg
Gondel (1739 - 1812),"Johannes le Francq van Berkhey (Dutch, 1729-1812)",1739 - 1812,https://artvee.com/dl/gondel/,705365an.jpg
Bird feeding (1875),"Eduard de Maes (German, 1852-1940)",1875,https://artvee.com/dl/bird-feeding/,706081an.jpg
The White-Faced Decticus (1921),"Edward Julius Detmold (English, 1883-1957)",1921,https://artvee.com/dl/the-white-faced-decticus/,700525an.jpg
"Tockus fasciatus,Tockus semifasciatus (1882)","Daniel Giraud Elliot (American, 1835 – 1915)",1882,https://artvee.com/dl/tockus-fasciatustockus-semifasciatus/,701712an.jpg
Gaviões II (1900-1906),"Emil August Göldi (Swiss, 1859-1917)",1900-1906,https://artvee.com/dl/gavioes-ii/,703510an.jpg
Plumages Of Barrow’s Golden-Eye (1913),"John Guille Millais (English, 1865 – 1931)",1913,https://artvee.com/dl/plumages-of-barrows-golden-eye/,702546an.jpg
Rufous-breasted Bamboo Partridge (Bambusicola Hyperythra),"John Gould (English, 1804-1881)",Bambusicola Hyperythra,https://artvee.com/dl/rufous-breasted-bamboo-partridge-bambusicola-hyperythra/,701978an.jpg
"An epitome of the natural history of the insects of New Holland, New Zealand Pl.23 (1805)","Edward Donovan (English, 1768 – 1837)",1805,https://artvee.com/dl/an-epitome-of-the-natural-history-of-the-insects-of-new-holland-new-zealand-pl-23/,706105an.jpg
Three studies of dogs (17th Century),Dutch School,17th Century,https://artvee.com/dl/three-studies-of-dogs/,704788an.jpg
Finches And Australian Waxbill (1878),"W. A . Blakston (English, 19th Century)",1878,https://artvee.com/dl/finches-and-australian-waxbill/,701262an.jpg
Study of Hungarian breed ox (1845),"Piotr Michałowski (Polish, 1800-1855)",1845,https://artvee.com/dl/study-of-hungarian-breed-ox/,705495an.jpg
Eagle (early 18th century),Anonymous,early 18th century,https://artvee.com/dl/eagle/,702832an.jpg
Hard Times – Partridges And A Hare (1892),"Archibald Thorburn (Scottish, 1860-1935)",1892,https://artvee.com/dl/hard-times-partridges-and-a-hare/,701327an.jpg
"Horses, Pigs and Chickens in a Farmyard","John Frederick Herring Jr. (English, 1820-1907)",None,https://artvee.com/dl/horses-pigs-and-chickens-in-a-farmyard/,702578an.jpg
Sheep On A Mountainside (1856),"Richard Ansdell (English, 1815 - 1885)",1856,https://artvee.com/dl/sheep-on-a-mountainside/,701495an.jpg
The book of the cat pl 4 (1903),Elizabeth Fearne Bonsall,1903,https://artvee.com/dl/the-book-of-the-cat-pl-4/,706979an.jpg
L’Alouate (1797),"Jean-Baptiste Audebert (French, 1759-1800)",1797,https://artvee.com/dl/lalouate/,705269an.jpg
Insecta Lepidoptera-Rhopalocera Pl 001 (1879-1915),"Frederick DuCane Godman (English, 1834 – 1919)",1879-1915,https://artvee.com/dl/insecta-lepidoptera-rhopalocera-pl-001/,707793an.jpg
Allied Eurylaime (1850-1883),"John Gould (English, 1804-1881)",1850-1883,https://artvee.com/dl/allied-eurylaime/,701876an.jpg
Two Cows in a Pasture,"Harry Ives Thompson (American, 1840 - 1906)",None,https://artvee.com/dl/two-cows-in-a-pasture/,704814an.jpg
Shepherd with Animals (1725-1730),"Jacob Roo (Dutch, 18th Century)",1725-1730,https://artvee.com/dl/shepherd-with-animals/,705159an.jpg
Plumages Of The Bornean And Siamese Crested Firebacks (1918-1922),"Henrik Gronvold (Danish, 1858 – 1940)",1918-1922,https://artvee.com/dl/plumages-of-the-bornean-and-siamese-crested-firebacks/,702516an.jpg
Cacao (1705),"Maria Sibylla Merian (German, 1647 – 1717)",1705,https://artvee.com/dl/cacao-2/,703277an.jpg
Insects II (1885-1890),"Frederick McCoy (Irish, 1817-1899)",1885-1890,https://artvee.com/dl/insects-ii/,704652an.jpg
Harold Lloyd’s Dogs (c. 1924),"Edmund Henry Osthaus (American, 1858–1928)",c. 1924,https://artvee.com/dl/harold-lloyds-dogs/,704791an.jpg
Hesten D (1821 – 1822),"Christian David Gebauer (Danish, 1777-1831)",1821 – 1822,https://artvee.com/dl/hesten-d/,701653an.jpg
Cows in a Meadow,"Antonio Montemezzo (Italian, 1841–1898)",None,https://artvee.com/dl/cows-in-a-meadow-2/,701628an.jpg
Die crustaceen der böhmischen kreideformation Pl. 10 (1887),"Antonín Frič (Czech, 1832 – 1913)",1887,https://artvee.com/dl/die-crustaceen-der-bohmischen-kreideformation-pl-10/,702971an.jpg
