Title,Artist Name,Year Created,Url,Refrence No
Two-edged Dendrobium (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/two-edged-dendrobium/,55159pl.jpg
Masdevallia Roezli (1885-1906),"Jean Jules Linden (Belgian, 1817-1898)",1885-1906,https://artvee.com/dl/masdevallia-roezli/,53022pl.jpg
"Crinum Hybridum, Pedunculatum And Zeylanicum (1834)","Priscilla Susan Bury (English, 1799 – 1872)",1834,https://artvee.com/dl/crinum-hybridum-pedunculatum-and-zeylanicum/,50618pl.jpg
Large-flowered Liatris (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/large-flowered-liatris/,54359pl.jpg
Plombago capensis [Plumbago auriculata] (1817),"Clemenz Heinrich Wehdemann (German, 1762 - 1835)",1817,https://artvee.com/dl/plombago-capensis-plumbago-auriculata/,50111pl.jpg
Bloeiende hyacint (1745 - 1784),"Pieter van Loo (Dutch, 1731-1784)",1745 - 1784,https://artvee.com/dl/bloeiende-hyacint/,53128pl.jpg
Twee tulpen met aardbeien en slak (1637),"Jacob Marrel (German, 1613-1681)",1637,https://artvee.com/dl/twee-tulpen-met-aardbeien-en-slak/,52882pl.jpg
Rosette Cinquefoil. Potentilia uniflora (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/rosette-cinquefoil-potentilia-uniflora/,52434pl.jpg
Pink Carnation (1620s or 1630s),"Balthasar van der Ast (Dutch, 1593-1657)",1620s or 1630s,https://artvee.com/dl/pink-carnation/,53247pl.jpg
"Kerria japonica, var. fol. argenteo-variegatis (1854-1896)","Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/kerria-japonica-var-fol-argenteo-variegatis/,51883pl.jpg
Camellia (ca. 1861–1897),"Louis Prang (American, 1824 – 1909)",ca. 1861–1897,https://artvee.com/dl/camellia/,50199pl.jpg
Cosmos (1914),Alice W. Donaldson,1914,https://artvee.com/dl/cosmos-3/,53402pl.jpg
