Title,Artist Name,Year Created,Url,Refrence
"Costumes, pour un ensemble (1913)",Monogrammist BMB,1913,https://artvee.com/dl/costumes-pour-un-ensemble/,50395fs.jpg
Der Alchemist,"Friedrich König (German, 1774–1833)",None,https://artvee.com/dl/der-alchemist/,906973il.jpg
"Francisco Goya y Lucientes, Pintor (Francisco Goya y Lucientes, painter) (1796-1797)","Francisco de Goya (Spanish, 1746 - 1828)",1796-1797,https://artvee.com/dl/francisco-goya-y-lucientes-pintor-francisco-goya-y-lucientes-painter/,914058il.jpg
"Movie, 8 (1912 - 1924)","Will R. Barnes (American, ?-1939)",1912 - 1924,https://artvee.com/dl/movie-8/,910340il.jpg
Getting to Know Africa’s French Community pl8 (1961),"Haris Petie (American, 1915-)",1961,https://artvee.com/dl/getting-to-know-africas-french-community-pl8/,907541il.jpg
"Examples of Chinese ornament, Pl.56 (1867)","Owen Jones (English, 1809 - 1874)",1867,https://artvee.com/dl/examples-of-chinese-ornament-pl-56/,101701ab.jpg
"Gazette du Bon Ton, 1921 – No. 10: Croquis No XVIII (1921)",Anonymous,1921,https://artvee.com/dl/gazette-du-bon-ton-1921-no-10-croquis-no-xviii/,50112fs.jpg
Bei Den Alpenrosen (1922),"Ernst Kreidolf (Swiss, 1863–1956)",1922,https://artvee.com/dl/bei-den-alpenrosen/,901533il.jpg
untitled (1913),"Will R. Barnes (American, ?-1939)",1913,https://artvee.com/dl/untitled-178/,910514il.jpg
"The Great Chimney, The Motor Park (1916)",,1916,https://artvee.com/dl/the-great-chimney-the-motor-park-2/,913435il.jpg
Kinzhal II (1849 - 1853),"Fedor Grigoryevich Solntsev (Russian, 1801 – 1892)",1849 - 1853,https://artvee.com/dl/kinzhal-ii/,602110sl.jpg
